id,accession_number,fabric,decoration,shape,atrribution,painter_group,painter_subgroup,earliest_date,latest_date,height_cm
214864,NA,athens,red-figure,pelike,academy p,NA,NA,-450,-400,NA
214865,NA,athens,red-figure,pelike,academy p,NA,NA,-450,-400,NA
214866,NA,athens,red-figure,pelike,academy p,NA,NA,-450,-400,NA
302864,NA,athens,black-figure,pelike,acheloos p,NA,NA,-550,-500,NA
302865,NA,athens,black-figure,pelike,acheloos p,NA,NA,-550,-500,NA
302862,NA,athens,black-figure,amphora_b,acheloos_p,NA,NA,-550,-500,NA
32054,NA,athens,black-figure,hydria,acheloos_p,NA,NA,-525,-475,NA
212260,NA,athens,red-figure,loutrophoros,achilles p,NA,NA,-475,-425,NA
213868,NA,athens,red-figure,pelike,achilles p,NA,NA,-475,-425,NA
213870,NA,athens,red-figure,pelike,achilles p,NA,NA,-475,-425,NA
44463,NA,athens,red-figure,pelike,achilles p,NA,NA,-475,-425,NA
6951,NA,athens,red-figure,pelike,achilles p,NA,NA,-475,-425,NA
205681,NA,athens,red-figure,pelike,aegisthus p,NA,NA,-500,-450,NA
205683,NA,athens,red-figure,pelike,aegisthus p,NA,NA,-500,-450,NA
4296,NA,athens,black-figure,cup_little_master_lip,affecter_p_compare,NA,NA,-550,-500,NA
50_185,Budapest 50_185,athens,black-figure,lethykos_cylinder_broad_shouldered,agora_24486_p_group,Athens_581_class,Athens_581_class,-490,-490,13
206670,NA,athens,red-figure,pelike,agrigento p,NA,NA,-500,-450,NA
206677,NA,athens,red-figure,pelike,agrigento p,NA,NA,-500,-450,NA
215582,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
215583,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
215584,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
215585,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
215587,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
215588,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
215589,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
215590,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
215592,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
215593,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
215594,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
215595,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
215596,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
215597,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
215598,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
215599,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
215600,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
215602,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
215603,NA,athens,red-figure,pelike,aison,NA,NA,-450,-400,NA
214557,NA,athens,red-figure,pelike,akin to clio p,NA,NA,-475,-425,NA
202075,NA,athens,red-figure,pelike,akin to nikoxenos p,NA,NA,-525,-475,NA
206005,NA,athens,red-figure,pelike,alkimachos p,NA,NA,-500,-450,NA
206006,NA,athens,red-figure,pelike,alkimachos p,NA,NA,-500,-450,NA
206007,NA,athens,red-figure,pelike,alkimachos p,NA,NA,-500,-450,NA
206008,NA,athens,red-figure,pelike,alkimachos p,NA,NA,-500,-450,NA
206009,NA,athens,red-figure,pelike,alkimachos p,NA,NA,-500,-450,NA
206876,NA,athens,red-figure,pelike,altamura p,NA,NA,-475,-425,NA
206877,NA,athens,red-figure,pelike,altamura p,NA,NA,-475,-425,NA
310432,NA,athens,black-figure,amphora_b,amasis_p,NA,NA,-575,-525,NA
310434,NA,athens,black-figure,amphora_b,amasis_p,NA,NA,-575,-525,NA
310442,NA,athens,black-figure,amphora_b,amasis_p,NA,NA,-575,-525,NA
11778,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230443,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230445,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230447,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230448,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230451,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230452,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230453,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230455,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230456,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230458,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230459,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230460,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230463,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230464,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230465,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230466,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230467,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230469,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230470,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230472,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230474,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
230480,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
340127,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
340131,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
9007970,NA,athens,red-figure,pelike,amazon p,NA,NA,-400,-300,NA
