id,url,accession_number,region_general_made,region_specific_made,technique,shape,attribution,painter_group,painter_subgroup,earliest_date,latest_date,date_range,authority,height_cm,provenance,comments
9,http://www.beazley.ox.ac.uk/record/A6E4A0A5-E1E9-4FED-82F2-01AE2D62C62E,"Berlin, Antikensammlung F1854  Berlin, Schloss Charlottenburg F1854",greece_central,athens,black-figure,amphora_neck,leagros group,NA,NA,-525,-475,50,BAPD,NA,"italy, etruria",NA
11,http://www.beazley.ox.ac.uk/record/8E5F9FA1-567C-4CA9-99A9-1001BD9D1111,"Mannheim, Reiss-Museum CG343  Basel, market, Munzen und Medaillen A.G.",greece_central,athens,black-figure,amphora_neck,NA,NA,NA,-550,-500,50,NA,NA,NA,NA
14,http://www.beazley.ox.ac.uk/record/FBB76427-69EB-4A76-97E4-4E44EDE27D42,"New York (NY), private  Basel, market, Munzen und Medaillen A.G.  London, market, Sotheby's",greece_central,athens,black-figure,amphora_neck,botkin class ,NA,NA,-575,-525,50,BAPD,NA,NA,NA
25,http://www.beazley.ox.ac.uk/record/441D1BB3-77A7-440D-8802-EE5A64715079,"Austin (TX), Jack S. Blanton Museum of Art 1980.32  Northampton, Castle Ashby 11  London, market, Christie's",greece_central,athens,black-figure,amphora_pseudo_panathenaic,NA,NA,NA,-550,-500,50,NA,NA,"italy, etruria, cerveteri",NA
26,http://www.beazley.ox.ac.uk/record/2BC0D59B-880B-45F5-B3DA-D68FCBEB5807,"New York (NY), Callimanopoulos  Northampton, Castle Ashby 14  London, market, Christie's",greece_central,athens,black-figure,amphora_neck,NA,NA,NA,-525,-475,50,BAPD,NA,NA,NA
28,http://www.beazley.ox.ac.uk/record/AD0E3641-7F99-4CFA-A764-42759DF35EF7,"Greece, private  Northampton, Castle Ashby 22  London, market, Christie's",greece_central,athens,black-figure,amphora_neck,vatican_g_29_p,NA,NA,-525,-475,50,BAPD,NA,NA,NA
37,http://www.beazley.ox.ac.uk/record/45D1C3BE-C3E0-4410-814E-05E5E85C686E,"Kyoto, Hashimoto Collection 130  Paris, Market  Japan, private",greece_central,athens,black-figure,amphora_b,NA,NA,NA,-550,-500,50,BAPD,NA,NA,NA
38,http://www.beazley.ox.ac.uk/record/5EB4B52F-0F80-4E19-A8D4-307CA5BBC511,"Tarquinia, Museo Nazionale Tarquiniese 679",greece_central,athens,black-figure,amphora_neck,compare leagros group,NA,NA,-550,-500,50,BAPD,NA,"italy, etruria, tarquinia",NA
39,http://www.beazley.ox.ac.uk/record/1C8DB9F7-44A7-4C93-84FC-44B13B7B5606,"London, market, Christie's  Nostell Priory, Lord St. Oswald",greece_central,athens,black-figure,amphora_neck,NA,NA,NA,-500,-450,50,BAPD,NA,NA,NA
63,http://www.beazley.ox.ac.uk/record/A5FC2033-F152-4727-B096-4125A3169B10,"Boston (MA), Museum of Fine Arts 24.151 ",greece_central,athens,black-figure,loutrophoros,polos p,NA,NA,-600,-550,50,NA,NA,NA,NA
69,http://www.beazley.ox.ac.uk/record/959EA31B-BDE9-4863-94DC-689B4374507D,"Liverpool, World Museum  Grasmere, J.R. Danson 10  Liverpool, Merseyside Museum DANSONBEQUE",greece_central,athens,black-figure,hydria,NA,NA,NA,-550,-500,50,NA,NA,NA,NA
71,http://www.beazley.ox.ac.uk/record/E43DDECE-74A3-44C1-BC8A-ECC4EB777B0F,"Boston (MA), Museum of Fine Arts 89.562",greece_central,athens,black-figure,hydria,NA,NA,NA,-550,-500,50,NA,NA,"italy, ruvo (?)",NA
72,http://www.beazley.ox.ac.uk/record/BBDEBA61-E7C7-4F1C-BC78-7E342812E13F,"Boston (MA), Museum of Fine Arts 99.522 ",greece_central,athens,black-figure,hydria,taleides p,NA,NA,-550,-500,50,NA,NA,"italy, etruria, vulci",NA
74,http://www.beazley.ox.ac.uk/record/301AD41D-0A59-46B1-9E47-39E20B0B32E6,"Boston (MA), Museum of Fine Arts 68.105",greece_central,athens,black-figure,hydria,taleides p,NA,NA,-575,-525,50,NA,NA,NA,NA
