"dataset_id","dataset","id","x","y","point_order"
"photo_50_91","photo","50_91",0.05183114,1.493775,1
"photo_50_91","photo","50_91",0.08756731,1.494427,2
"photo_50_91","photo","50_91",0.1233035,1.495079,3
"photo_50_91","photo","50_91",0.1590397,1.495731,4
"photo_50_91","photo","50_91",0.1947758,1.496384,5
"photo_50_91","photo","50_91",0.230512,1.497034,6
"photo_50_91","photo","50_91",0.2662483,1.497682,7
"photo_50_91","photo","50_91",0.3019846,1.498329,8
"photo_50_91","photo","50_91",0.3377208,1.498976,9
"photo_50_91","photo","50_91",0.3734571,1.499622,10
"photo_50_91","photo","50_91",0.4091712,1.5,11
"photo_50_91","photo","50_91",0.4355507,1.481588,12
"photo_50_91","photo","50_91",0.4328154,1.446069,13
"photo_50_91","photo","50_91",0.4220056,1.412142,14
"photo_50_91","photo","50_91",0.4046572,1.380941,15
"photo_50_91","photo","50_91",0.3843591,1.351532,16
"photo_50_91","photo","50_91",0.3629325,1.322927,17
"photo_50_91","photo","50_91",0.3402888,1.29528,18
"photo_50_91","photo","50_91",0.316492,1.268615,19
"photo_50_91","photo","50_91",0.2929475,1.241728,20
"photo_50_91","photo","50_91",0.2695985,1.214677,21
"photo_50_91","photo","50_91",0.2442118,1.189534,22
"photo_50_91","photo","50_91",0.219977,1.163334,23
"photo_50_91","photo","50_91",0.2008358,1.133261,24
"photo_50_91","photo","50_91",0.1876536,1.100079,25
"photo_50_91","photo","50_91",0.1787284,1.0655,26
"photo_50_91","photo","50_91",0.1729081,1.030246,27
"photo_50_91","photo","50_91",0.1695659,0.9946672,28
"photo_50_91","photo","50_91",0.1682945,0.9589577,29
"photo_50_91","photo","50_91",0.1696971,0.9232575,30
"photo_50_91","photo","50_91",0.1746452,0.8878877,31
"photo_50_91","photo","50_91",0.1827139,0.8530789,32
"photo_50_91","photo","50_91",0.1931475,0.8189018,33
"photo_50_91","photo","50_91",0.2054871,0.7853659,34
"photo_50_91","photo","50_91",0.2207811,0.7530823,35
"photo_50_91","photo","50_91",0.2398081,0.7228915,36
"photo_50_91","photo","50_91",0.2634395,0.6961402,37
