"dataset_id","dataset","id","x","y","point_order"
"photo_93_17_A","photo","93_17_A",0.01779733,1.5,1
"photo_93_17_A","photo","93_17_A",0.05170312,1.5,2
"photo_93_17_A","photo","93_17_A",0.08560892,1.5,3
"photo_93_17_A","photo","93_17_A",0.1195147,1.5,4
"photo_93_17_A","photo","93_17_A",0.1534205,1.5,5
"photo_93_17_A","photo","93_17_A",0.1873263,1.5,6
"photo_93_17_A","photo","93_17_A",0.2212321,1.5,7
"photo_93_17_A","photo","93_17_A",0.2551379,1.5,8
"photo_93_17_A","photo","93_17_A",0.2890437,1.5,9
"photo_93_17_A","photo","93_17_A",0.3229495,1.5,10
"photo_93_17_A","photo","93_17_A",0.3568553,1.5,11
"photo_93_17_A","photo","93_17_A",0.3528272,1.469264,12
"photo_93_17_A","photo","93_17_A",0.3393268,1.438202,13
"photo_93_17_A","photo","93_17_A",0.3231115,1.408434,14
"photo_93_17_A","photo","93_17_A",0.3042059,1.380336,15
"photo_93_17_A","photo","93_17_A",0.2812181,1.355492,16
"photo_93_17_A","photo","93_17_A",0.2541734,1.335077,17
"photo_93_17_A","photo","93_17_A",0.2271333,1.314687,18
"photo_93_17_A","photo","93_17_A",0.2050023,1.289162,19
"photo_93_17_A","photo","93_17_A",0.1900579,1.25885,20
"photo_93_17_A","photo","93_17_A",0.1809359,1.226255,21
"photo_93_17_A","photo","93_17_A",0.1763635,1.192668,22
"photo_93_17_A","photo","93_17_A",0.1734051,1.158893,23
"photo_93_17_A","photo","93_17_A",0.1709535,1.125077,24
"photo_93_17_A","photo","93_17_A",0.1695891,1.091202,25
"photo_93_17_A","photo","93_17_A",0.168899,1.057303,26
"photo_93_17_A","photo","93_17_A",0.1681232,1.023406,27
"photo_93_17_A","photo","93_17_A",0.1679899,0.989504,28
"photo_93_17_A","photo","93_17_A",0.1709649,0.9557609,29
"photo_93_17_A","photo","93_17_A",0.1781844,0.9226712,30
"photo_93_17_A","photo","93_17_A",0.1892863,0.8906484,31
"photo_93_17_A","photo","93_17_A",0.2034833,0.859897,32
"photo_93_17_A","photo","93_17_A",0.2217149,0.8313532,33
"photo_93_17_A","photo","93_17_A",0.2436986,0.8055861,34
"photo_93_17_A","photo","93_17_A",0.2681165,0.782081,35
"photo_93_17_A","photo","93_17_A",0.2945952,0.760925,36
"photo_93_17_A","photo","93_17_A",0.3226931,0.741978,37
"photo_93_17_A","photo","93_17_A",0.352341,0.7255466,38
"photo_93_17_A","photo","93_17_A",0.3829747,0.711035,39
"photo_93_17_A","photo","93_17_A",0.4143717,0.698248,40
"photo_93_17_A","photo","93_17_A",0.4462301,0.6866474,41
"photo_93_17_A","photo","93_17_A",0.4781112,0.6751067,42
"photo_93_17_A","photo","93_17_A",0.5101181,0.6639305,43
"photo_93_17_A","photo","93_17_A",0.5419752,0.6525503,44
"photo_93_17_A","photo","93_17_A",0.5660405,0.6297314,45
"photo_93_17_A","photo","93_17_A",0.5764377,0.5976302,46
"photo_93_17_A","photo","93_17_A",0.5830642,0.5643915,47
"photo_93_17_A","photo","93_17_A",0.5852791,0.5305706,48
"photo_93_17_A","photo","93_17_A",0.5862616,0.4966791,49
"photo_93_17_A","photo","93_17_A",0.5870041,0.4627816,50
"photo_93_17_A","photo","93_17_A",0.5875073,0.4288796,51
"photo_93_17_A","photo","93_17_A",0.5878565,0.3949757,52
"photo_93_17_A","photo","93_17_A",0.5879571,0.3610702,53
"photo_93_17_A","photo","93_17_A",0.5877798,0.327165,54
"photo_93_17_A","photo","93_17_A",0.5874629,0.2932607,55
"photo_93_17_A","photo","93_17_A",0.5872044,0.2593559,56
"photo_93_17_A","photo","93_17_A",0.5870435,0.2254505,57
"photo_93_17_A","photo","93_17_A",0.5868624,0.1915452,58
"photo_93_17_A","photo","93_17_A",0.5866013,0.1576404,59
"photo_93_17_A","photo","93_17_A",0.5862558,0.1237364,60
"photo_93_17_A","photo","93_17_A",0.5858244,0.08983334,61
"photo_93_17_A","photo","93_17_A",0.5853678,0.05593063,62
"photo_93_17_A","photo","93_17_A",0.5849401,0.0220276,63
"photo_93_17_A","photo","93_17_A",0.5840705,-0.01186608,64
"photo_93_17_A","photo","93_17_A",0.5823743,-0.04572751,65
"photo_93_17_A","photo","93_17_A",0.5792836,-0.0794846,66
"photo_93_17_A","photo","93_17_A",0.5743089,-0.1130192,67
"photo_93_17_A","photo","93_17_A",0.569393,-0.1465653,68
"photo_93_17_A","photo","93_17_A",0.5649481,-0.1801784,69
"photo_93_17_A","photo","93_17_A",0.560494,-0.2137904,70
"photo_93_17_A","photo","93_17_A",0.5557345,-0.2473596,71
"photo_93_17_A","photo","93_17_A",0.5501766,-0.2808051,72
"photo_93_17_A","photo","93_17_A",0.5437213,-0.3140903,73
"photo_93_17_A","photo","93_17_A",0.537147,-0.3473526,74
"photo_93_17_A","photo","93_17_A",0.530574,-0.380615,75
"photo_93_17_A","photo","93_17_A",0.5235426,-0.4137829,76
"photo_93_17_A","photo","93_17_A",0.5159615,-0.44683,77
"photo_93_17_A","photo","93_17_A",0.5079874,-0.4797844,78
"photo_93_17_A","photo","93_17_A",0.4995933,-0.5126343,79
"photo_93_17_A","photo","93_17_A",0.4905773,-0.5453189,80
"photo_93_17_A","photo","93_17_A",0.4811072,-0.5778748,81
"photo_93_17_A","photo","93_17_A",0.4711609,-0.6102886,82
"photo_93_17_A","photo","93_17_A",0.4607754,-0.6425642,83
"photo_93_17_A","photo","93_17_A",0.450069,-0.6747352,84
"photo_93_17_A","photo","93_17_A",0.4391651,-0.7068397,85
"photo_93_17_A","photo","93_17_A",0.427935,-0.7388313,86
"photo_93_17_A","photo","93_17_A",0.4158839,-0.7705221,87
"photo_93_17_A","photo","93_17_A",0.4033403,-0.802022,88
"photo_93_17_A","photo","93_17_A",0.3906339,-0.8334569,89
"photo_93_17_A","photo","93_17_A",0.3777446,-0.8648171,90
"photo_93_17_A","photo","93_17_A",0.3646614,-0.8960969,91
"photo_93_17_A","photo","93_17_A",0.3514145,-0.9273078,92
"photo_93_17_A","photo","93_17_A",0.3379697,-0.9584339,93
"photo_93_17_A","photo","93_17_A",0.3243731,-0.989494,94
"photo_93_17_A","photo","93_17_A",0.3108985,-1.020607,95
"photo_93_17_A","photo","93_17_A",0.2977911,-1.051877,96
