"dataset_id","dataset","id","x","y","point_order"
"photo_T_716","photo","T_716",0.04713099,1.499861,1
"photo_T_716","photo","T_716",0.08067224,1.499872,2
"photo_T_716","photo","T_716",0.1142135,1.499883,3
"photo_T_716","photo","T_716",0.1477547,1.499894,4
"photo_T_716","photo","T_716",0.181296,1.499905,5
"photo_T_716","photo","T_716",0.2148373,1.499914,6
"photo_T_716","photo","T_716",0.2483785,1.499923,7
"photo_T_716","photo","T_716",0.2819197,1.49995,8
"photo_T_716","photo","T_716",0.3151328,1.49766,9
"photo_T_716","photo","T_716",0.3219341,1.469815,10
"photo_T_716","photo","T_716",0.3098526,1.438588,11
"photo_T_716","photo","T_716",0.2960395,1.408023,12
"photo_T_716","photo","T_716",0.2823595,1.377398,13
"photo_T_716","photo","T_716",0.2682934,1.34695,14
"photo_T_716","photo","T_716",0.2536543,1.316772,15
"photo_T_716","photo","T_716",0.2383457,1.286931,16
"photo_T_716","photo","T_716",0.2217768,1.257777,17
"photo_T_716","photo","T_716",0.202299,1.230506,18
"photo_T_716","photo","T_716",0.1799988,1.205475,19
"photo_T_716","photo","T_716",0.1599447,1.178704,20
"photo_T_716","photo","T_716",0.1474635,1.147676,21
"photo_T_716","photo","T_716",0.1406631,1.114883,22
"photo_T_716","photo","T_716",0.1369366,1.081551,23
"photo_T_716","photo","T_716",0.1346814,1.048111,24
"photo_T_716","photo","T_716",0.1380061,1.014829,25
"photo_T_716","photo","T_716",0.1450627,0.9820395,26
"photo_T_716","photo","T_716",0.1514566,0.9491145,27
"photo_T_716","photo","T_716",0.1585759,0.9163412,28
"photo_T_716","photo","T_716",0.1669998,0.8838782,29
"photo_T_716","photo","T_716",0.1763431,0.8516674,30
"photo_T_716","photo","T_716",0.1881399,0.8202947,31
"photo_T_716","photo","T_716",0.2023158,0.789905,32
"photo_T_716","photo","T_716",0.2219715,0.7629498,33
"photo_T_716","photo","T_716",0.2466529,0.7402548,34
"photo_T_716","photo","T_716",0.2715412,0.7177748,35
"photo_T_716","photo","T_716",0.2968047,0.6957473,36
"photo_T_716","photo","T_716",0.3265913,0.6804657,37
"photo_T_716","photo","T_716",0.3575878,0.6676528,38
"photo_T_716","photo","T_716",0.3889129,0.6556654,39
"photo_T_716","photo","T_716",0.4204453,0.6442337,40
"photo_T_716","photo","T_716",0.4522037,0.6334464,41
"photo_T_716","photo","T_716",0.4841642,0.623273,42
"photo_T_716","photo","T_716",0.5155304,0.6114806,43
"photo_T_716","photo","T_716",0.5410945,0.5903592,44
"photo_T_716","photo","T_716",0.5545548,0.560123,45
"photo_T_716","photo","T_716",0.5588902,0.5269061,46
"photo_T_716","photo","T_716",0.5590089,0.4933748,47
"photo_T_716","photo","T_716",0.558041,0.4598478,48
"photo_T_716","photo","T_716",0.5572798,0.4263153,49
"photo_T_716","photo","T_716",0.5566803,0.3927794,50
"photo_T_716","photo","T_716",0.556358,0.35924,51
"photo_T_716","photo","T_716",0.5559719,0.3257024,52
"photo_T_716","photo","T_716",0.5544667,0.2921968,53
"photo_T_716","photo","T_716",0.5534193,0.2586779,54
"photo_T_716","photo","T_716",0.5546672,0.225163,55
"photo_T_716","photo","T_716",0.5553069,0.191634,56
"photo_T_716","photo","T_716",0.5542031,0.158112,57
"photo_T_716","photo","T_716",0.5521384,0.1246378,58
"photo_T_716","photo","T_716",0.548679,0.0912774,59
"photo_T_716","photo","T_716",0.5448321,0.05795801,60
"photo_T_716","photo","T_716",0.541872,0.02455085,61
"photo_T_716","photo","T_716",0.5401238,-0.008944084,62
"photo_T_716","photo","T_716",0.5384178,-0.0424417,63
"photo_T_716","photo","T_716",0.5361661,-0.07590655,64
"photo_T_716","photo","T_716",0.5331621,-0.1093118,65
"photo_T_716","photo","T_716",0.5296232,-0.1426655,66
"photo_T_716","photo","T_716",0.526034,-0.1760118,67
"photo_T_716","photo","T_716",0.5234778,-0.2094545,68
"photo_T_716","photo","T_716",0.5208538,-0.2428929,69
"photo_T_716","photo","T_716",0.5178778,-0.2762998,70
"photo_T_716","photo","T_716",0.5130187,-0.3094823,71
"photo_T_716","photo","T_716",0.5064791,-0.3423742,72
"photo_T_716","photo","T_716",0.4998038,-0.3752349,73
"photo_T_716","photo","T_716",0.4970247,-0.4086318,74
"photo_T_716","photo","T_716",0.4958269,-0.4421515,75
"photo_T_716","photo","T_716",0.4921449,-0.4754476,76
"photo_T_716","photo","T_716",0.4824081,-0.5074389,77
"photo_T_716","photo","T_716",0.4781098,-0.5400476,78
"photo_T_716","photo","T_716",0.4835797,-0.5730478,79
"photo_T_716","photo","T_716",0.482256,-0.6064934,80
"photo_T_716","photo","T_716",0.4776197,-0.6397089,81
"photo_T_716","photo","T_716",0.4725004,-0.6728571,82
"photo_T_716","photo","T_716",0.4675391,-0.7060294,83
"photo_T_716","photo","T_716",0.4625974,-0.7392046,84
"photo_T_716","photo","T_716",0.4575885,-0.7723693,85
"photo_T_716","photo","T_716",0.4517204,-0.8053901,86
"photo_T_716","photo","T_716",0.4446558,-0.838177,87
"photo_T_716","photo","T_716",0.4366396,-0.8707451,88
"photo_T_716","photo","T_716",0.4278943,-0.9031246,89
"photo_T_716","photo","T_716",0.4179483,-0.9351536,90
