"dataset_id","dataset","id","x","y","point_order"
"three_d_50_161","three_d","50_161",0.0133871,1.4998,1
"three_d_50_161","three_d","50_161",0.04798149,1.499118,2
"three_d_50_161","three_d","50_161",0.08257587,1.498236,3
"three_d_50_161","three_d","50_161",0.1171703,1.497353,4
"three_d_50_161","three_d","50_161",0.1517646,1.496471,5
"three_d_50_161","three_d","50_161",0.186359,1.495589,6
"three_d_50_161","three_d","50_161",0.2209534,1.494707,7
"three_d_50_161","three_d","50_161",0.2555478,1.493825,8
"three_d_50_161","three_d","50_161",0.2901422,1.492942,9
"three_d_50_161","three_d","50_161",0.3247361,1.492044,10
"three_d_50_161","three_d","50_161",0.3575957,1.485695,11
"three_d_50_161","three_d","50_161",0.3529519,1.45389,12
"three_d_50_161","three_d","50_161",0.3324387,1.426078,13
"three_d_50_161","three_d","50_161",0.3089673,1.400663,14
"three_d_50_161","three_d","50_161",0.2841512,1.376551,15
"three_d_50_161","three_d","50_161",0.2589418,1.352847,16
"three_d_50_161","three_d","50_161",0.2340988,1.328763,17
"three_d_50_161","three_d","50_161",0.2089191,1.305041,18
"three_d_50_161","three_d","50_161",0.1918508,1.275324,19
"three_d_50_161","three_d","50_161",0.182885,1.241939,20
"three_d_50_161","three_d","50_161",0.1765882,1.207917,21
"three_d_50_161","three_d","50_161",0.1717382,1.173656,22
"three_d_50_161","three_d","50_161",0.1668621,1.139397,23
"three_d_50_161","three_d","50_161",0.1618018,1.105167,24
"three_d_50_161","three_d","50_161",0.1584879,1.070725,25
"three_d_50_161","three_d","50_161",0.1561089,1.036202,26
"three_d_50_161","three_d","50_161",0.1538876,1.001668,27
"three_d_50_161","three_d","50_161",0.154125,0.9670919,28
"three_d_50_161","three_d","50_161",0.1576828,0.9326805,29
"three_d_50_161","three_d","50_161",0.1615055,0.8982874,30
"three_d_50_161","three_d","50_161",0.1652376,0.8638855,31
"three_d_50_161","three_d","50_161",0.1705872,0.8297045,32
"three_d_50_161","three_d","50_161",0.1776948,0.7958395,33
"three_d_50_161","three_d","50_161",0.1905513,0.7640713,34
"three_d_50_161","three_d","50_161",0.2140427,0.7388476,35
"three_d_50_161","three_d","50_161",0.2369713,0.7129455,36
"three_d_50_161","three_d","50_161",0.2608306,0.6879248,37
"three_d_50_161","three_d","50_161",0.2874379,0.6658344,38
"three_d_50_161","three_d","50_161",0.3165832,0.6472215,39
"three_d_50_161","three_d","50_161",0.3470768,0.6308749,40
"three_d_50_161","three_d","50_161",0.3784507,0.6162892,41
"three_d_50_161","three_d","50_161",0.4105163,0.6032843,42
"three_d_50_161","three_d","50_161",0.4426653,0.5904788,43
"three_d_50_161","three_d","50_161",0.4748634,0.577797,44
"three_d_50_161","three_d","50_161",0.507069,0.5651344,45
"three_d_50_161","three_d","50_161",0.5390147,0.5518346,46
"three_d_50_161","three_d","50_161",0.5701141,0.5367309,47
"three_d_50_161","three_d","50_161",0.5926485,0.5113699,48
"three_d_50_161","three_d","50_161",0.6006752,0.4780092,49
"three_d_50_161","three_d","50_161",0.6029908,0.4434905,50
"three_d_50_161","three_d","50_161",0.6033016,0.4088906,51
"three_d_50_161","three_d","50_161",0.6026255,0.3742923,52
"three_d_50_161","three_d","50_161",0.6014993,0.3397051,53
"three_d_50_161","three_d","50_161",0.600018,0.3051315,54
"three_d_50_161","three_d","50_161",0.5984123,0.2705632,55
"three_d_50_161","three_d","50_161",0.5967779,0.2359963,56
"three_d_50_161","three_d","50_161",0.5947897,0.2014482,57
"three_d_50_161","three_d","50_161",0.5928552,0.1668976,58
"three_d_50_161","three_d","50_161",0.5911627,0.1323337,59
"three_d_50_161","three_d","50_161",0.5890909,0.09779019,60
"three_d_50_161","three_d","50_161",0.58711,0.06324136,61
"three_d_50_161","three_d","50_161",0.5853063,0.02868284,62
"three_d_50_161","three_d","50_161",0.5837119,-0.005886041,63
