"dataset_id","dataset","id","x","y","point_order"
"three_d_58_5_A","three_d","58_5_A",0.01318493,1.499173,1
"three_d_58_5_A","three_d","58_5_A",0.04489875,1.495335,2
"three_d_58_5_A","three_d","58_5_A",0.07661256,1.490671,3
"three_d_58_5_A","three_d","58_5_A",0.1083264,1.486006,4
"three_d_58_5_A","three_d","58_5_A",0.1400402,1.481342,5
"three_d_58_5_A","three_d","58_5_A",0.1717601,1.476719,6
"three_d_58_5_A","three_d","58_5_A",0.2034934,1.472189,7
"three_d_58_5_A","three_d","58_5_A",0.2352292,1.467676,8
"three_d_58_5_A","three_d","58_5_A",0.266965,1.463163,9
"three_d_58_5_A","three_d","58_5_A",0.2937535,1.449138,10
"three_d_58_5_A","three_d","58_5_A",0.2721126,1.42806,11
"three_d_58_5_A","three_d","58_5_A",0.2451244,1.411312,12
"three_d_58_5_A","three_d","58_5_A",0.2281319,1.38455,13
"three_d_58_5_A","three_d","58_5_A",0.2183104,1.354045,14
"three_d_58_5_A","three_d","58_5_A",0.2098847,1.323119,15
"three_d_58_5_A","three_d","58_5_A",0.2023857,1.291956,16
"three_d_58_5_A","three_d","58_5_A",0.1966602,1.260426,17
"three_d_58_5_A","three_d","58_5_A",0.1930656,1.228583,18
"three_d_58_5_A","three_d","58_5_A",0.1920518,1.196552,19
"three_d_58_5_A","three_d","58_5_A",0.1933102,1.164532,20
"three_d_58_5_A","three_d","58_5_A",0.19501,1.132527,21
"three_d_58_5_A","three_d","58_5_A",0.1940871,1.100528,22
"three_d_58_5_A","three_d","58_5_A",0.1866945,1.069471,23
"three_d_58_5_A","three_d","58_5_A",0.1758552,1.039347,24
"three_d_58_5_A","three_d","58_5_A",0.170439,1.007819,25
"three_d_58_5_A","three_d","58_5_A",0.1680769,0.9758537,26
"three_d_58_5_A","three_d","58_5_A",0.1664854,0.9438384,27
"three_d_58_5_A","three_d","58_5_A",0.165102,0.9118138,28
"three_d_58_5_A","three_d","58_5_A",0.1645835,0.8797646,29
"three_d_58_5_A","three_d","58_5_A",0.1650456,0.8477151,30
"three_d_58_5_A","three_d","58_5_A",0.1663984,0.8156896,31
"three_d_58_5_A","three_d","58_5_A",0.1690794,0.7837517,32
"three_d_58_5_A","three_d","58_5_A",0.1725839,0.7518892,33
"three_d_58_5_A","three_d","58_5_A",0.1756471,0.7199809,34
"three_d_58_5_A","three_d","58_5_A",0.1801337,0.6882545,35
"three_d_58_5_A","three_d","58_5_A",0.1870449,0.6569626,36
"three_d_58_5_A","three_d","58_5_A",0.1963618,0.6263077,37
"three_d_58_5_A","three_d","58_5_A",0.2092158,0.5969975,38
"three_d_58_5_A","three_d","58_5_A",0.2278494,0.5709971,39
"three_d_58_5_A","three_d","58_5_A",0.2513752,0.5493874,40
"three_d_58_5_A","three_d","58_5_A",0.2787892,0.5328365,41
"three_d_58_5_A","three_d","58_5_A",0.308036,0.5198081,42
"three_d_58_5_A","three_d","58_5_A",0.3386548,0.5103736,43
"three_d_58_5_A","three_d","58_5_A",0.3696098,0.5020485,44
"three_d_58_5_A","three_d","58_5_A",0.4005465,0.4936554,45
"three_d_58_5_A","three_d","58_5_A",0.4316127,0.4857676,46
"three_d_58_5_A","three_d","58_5_A",0.4628205,0.4784886,47
"three_d_58_5_A","three_d","58_5_A",0.491528,0.4649708,48
"three_d_58_5_A","three_d","58_5_A",0.5030363,0.4358949,49
"three_d_58_5_A","three_d","58_5_A",0.5026344,0.4039272,50
"three_d_58_5_A","three_d","58_5_A",0.4998829,0.3719908,51
"three_d_58_5_A","three_d","58_5_A",0.4965455,0.3401102,52
"three_d_58_5_A","three_d","58_5_A",0.4930551,0.308246,53
