"dataset_id","dataset","id","x","y","point_order"
"three_d_T_749","three_d","T_749",0.002675497,1.49972,1
"three_d_T_749","three_d","T_749",0.03664592,1.499668,2
"three_d_T_749","three_d","T_749",0.07061634,1.499336,3
"three_d_T_749","three_d","T_749",0.1045868,1.499005,4
"three_d_T_749","three_d","T_749",0.1385572,1.498673,5
"three_d_T_749","three_d","T_749",0.1725276,1.498341,6
"three_d_T_749","three_d","T_749",0.206498,1.498009,7
"three_d_T_749","three_d","T_749",0.2404684,1.497677,8
"three_d_T_749","three_d","T_749",0.2744389,1.497345,9
"three_d_T_749","three_d","T_749",0.298329,1.482311,10
"three_d_T_749","three_d","T_749",0.2876312,1.45045,11
"three_d_T_749","three_d","T_749",0.2757299,1.418639,12
"three_d_T_749","three_d","T_749",0.2648181,1.386467,13
"three_d_T_749","three_d","T_749",0.253524,1.354428,14
"three_d_T_749","three_d","T_749",0.242068,1.322446,15
"three_d_T_749","three_d","T_749",0.2299946,1.290693,16
"three_d_T_749","three_d","T_749",0.2170756,1.259276,17
"three_d_T_749","three_d","T_749",0.2015049,1.229135,18
"three_d_T_749","three_d","T_749",0.179875,1.203159,19
"three_d_T_749","three_d","T_749",0.1547805,1.180313,20
"three_d_T_749","three_d","T_749",0.1386381,1.150933,21
"three_d_T_749","three_d","T_749",0.1320193,1.117654,22
"three_d_T_749","three_d","T_749",0.1276991,1.083959,23
"three_d_T_749","three_d","T_749",0.1234989,1.050248,24
"three_d_T_749","three_d","T_749",0.1192238,1.016547,25
"three_d_T_749","three_d","T_749",0.1162948,0.9827088,26
"three_d_T_749","three_d","T_749",0.1153044,0.9487567,27
"three_d_T_749","three_d","T_749",0.1158305,0.9147916,28
"three_d_T_749","three_d","T_749",0.1173075,0.8808531,29
"three_d_T_749","three_d","T_749",0.1196002,0.8469589,30
"three_d_T_749","three_d","T_749",0.1219739,0.81307,31
"three_d_T_749","three_d","T_749",0.126308,0.7794071,32
"three_d_T_749","three_d","T_749",0.1340036,0.7463298,33
"three_d_T_749","three_d","T_749",0.1418453,0.7132754,34
"three_d_T_749","three_d","T_749",0.1527587,0.6811651,35
"three_d_T_749","three_d","T_749",0.1692528,0.6515627,36
"three_d_T_749","three_d","T_749",0.19199,0.6263941,37
"three_d_T_749","three_d","T_749",0.2184875,0.6052202,38
"three_d_T_749","three_d","T_749",0.2473095,0.5872618,39
"three_d_T_749","three_d","T_749",0.2774447,0.5715985,40
"three_d_T_749","three_d","T_749",0.308387,0.5575858,41
"three_d_T_749","three_d","T_749",0.3398275,0.5447186,42
"three_d_T_749","three_d","T_749",0.3715196,0.5324884,43
"three_d_T_749","three_d","T_749",0.4035937,0.5212969,44
"three_d_T_749","three_d","T_749",0.4357712,0.5104015,45
"three_d_T_749","three_d","T_749",0.4679175,0.4994145,46
"three_d_T_749","three_d","T_749",0.4992901,0.4865623,47
"three_d_T_749","three_d","T_749",0.5193545,0.4615592,48
"three_d_T_749","three_d","T_749",0.516152,0.427971,49
"three_d_T_749","three_d","T_749",0.5099678,0.3945679,50
"three_d_T_749","three_d","T_749",0.5044447,0.3610485,51
"three_d_T_749","three_d","T_749",0.499852,0.3273901,52
"three_d_T_749","three_d","T_749",0.4961339,0.2936231,53
"three_d_T_749","three_d","T_749",0.4926111,0.2598342,54
"three_d_T_749","three_d","T_749",0.4893904,0.2260154,55
"three_d_T_749","three_d","T_749",0.4862935,0.1921849,56
"three_d_T_749","three_d","T_749",0.4835397,0.158325,57
"three_d_T_749","three_d","T_749",0.4810813,0.1244421,58
"three_d_T_749","three_d","T_749",0.4789321,0.09053826,59
"three_d_T_749","three_d","T_749",0.4768141,0.05663236,60
"three_d_T_749","three_d","T_749",0.4745474,0.02273604,61
"three_d_T_749","three_d","T_749",0.4721687,-0.01115261,62
"three_d_T_749","three_d","T_749",0.4698098,-0.04504263,63
"three_d_T_749","three_d","T_749",0.4675604,-0.07894012,64
